,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,3781,https://www.airbnb.com/rooms/3781,20240918135519,2024-09-18,city scrape,HARBORSIDE-Walk to subway,"Fully separate apartment in a two apartment building. Space is perfect for an individual or a couple. There is a full bath, bedroom with queen bed, small sitting area with TV and a fully equipped kitchen with dining area. Walk or bus to subway.","Mostly quiet ( no loud music, no crowed sidewalks)  area with residential 3 story buildings, some 4 and 5 story newer buildings. Though not in an ""entertainment"" area there are local food shops and supermarket with a mix of restaurants.  Area is in transition--East Boston has a great waterfront with gentrification evident everywhere!",https://a0.muscache.com/pictures/24670/b2de0442_original.jpg,4804,https://www.airbnb.com/users/show/4804,Frank,2008-12-03,"Massachusetts, United States","My wife and I and grown children frequently occupy the spaces that we rent and as such try to make the spaces pleasant and appealing to ourselves as well as guests.   We have been subletting for over 15 years and consider ourselves helpful and organized hosts who provide clean, attractive and comfortable apartments",within a day,1.0,0.28,t,https://a0.muscache.com/im/users/4804/profile_pic/1327953150/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/4804/profile_pic/1327953150/original.jpg?aki_policy=profile_x_medium,East Boston,2,6,"['email', 'phone']",t,f,Neighborhood highlights,East Boston,,42.36413,-71.02991,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Cooking basics"", ""Essentials"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Shampoo"", ""Hair dryer"", ""Stove"", ""Oven"", ""Microwave"", ""Dishes and silverware"", ""Central air conditioning"", ""Free parking on premises"", ""Dryer"", ""Free street parking"", ""Carbon monoxide alarm"", ""Patio or balcony"", ""Hangers"", ""Iron"", ""TV with standard cable"", ""Refrigerator"", ""Bed linens"", ""Washer"", ""Hot water"", ""Smoke alarm"", ""Wifi"", ""Heating"", ""Extra pillows and blankets""]",125.0,29,1125,29.0,29.0,1125.0,1125.0,29.0,1125.0,,t,0,0,0,199,2024-09-18,26,2,0,2015-07-10,2024-08-09,4.96,5.0,4.96,5.0,4.96,4.85,4.88,,f,1,1,0,0,0.23
1,5506,https://www.airbnb.com/rooms/5506,20240918135519,2024-09-18,city scrape,** Fort Hill Inn Private! Minutes to center!**,"Private guest room with private bath, You do not need to cut through anyone else's space to get to guest room. No shared space.  Private entrance off main hall/stairs of the building.   Has a mini fridge, micro and coffee maker.","Peaceful, Architecturally interesting, historic, diverse, and quiet residential. <br /><br />Culturally,  ethnically, and economically diverse.",https://a0.muscache.com/pictures/miso/Hosting-5506/original/5c9789c7-abff-49e4-b0de-1ba8b77a9597.jpeg,8229,https://www.airbnb.com/users/show/8229,Terry,2009-02-19,"Boston, MA","Relaxed,  Easy going, Accommodating. ",within an hour,1.0,0.99,t,https://a0.muscache.com/im/users/8229/profile_pic/1259099341/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/8229/profile_pic/1259099341/original.jpg?aki_policy=profile_x_medium,Roxbury,11,14,"['email', 'phone']",t,t,Neighborhood highlights,Roxbury,,42.32844,-71.09581,Entire guest suite,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Essentials"", ""Coffee maker"", ""Shampoo"", ""Hair dryer"", ""Air conditioning"", ""Microwave"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Private entrance"", ""Dryer"", ""Free street parking"", ""Carbon monoxide alarm"", ""Hangers"", ""Iron"", ""TV with standard cable"", ""Refrigerator"", ""First aid kit"", ""Bathtub"", ""Bed linens"", ""Fire extinguisher"", ""Washer"", ""Hot water"", ""Smoke alarm"", ""Wifi"", ""Heating"", ""Keypad"", ""Self check-in"", ""Extra pillows and blankets"", ""Long term stays allowed""]",142.0,3,90,1.0,3.0,1125.0,1125.0,3.0,1125.0,,t,1,20,50,65,2024-09-18,128,9,2,2009-03-21,2024-08-29,4.8,4.88,4.9,4.95,4.89,4.57,4.76,STR-490093,f,10,10,0,0,0.68
2,6695,https://www.airbnb.com/rooms/6695,20240918135519,2024-09-18,city scrape,"Fort Hill Inn *Sunny* 1 bedroom, condo duplex","Comfortable,  Fully Equipped private apartment on 2 levels.  Sleeps up to 4.  Sleeper sofa in living room Steps inside unit to bedroom.","Peaceful, Architecturally interesting, historic, diverse, and quiet. Racially, culturally,  ethnic, and economically diverse.",https://a0.muscache.com/pictures/38ac4797-e7a4-48d8-84a5-e1f724f4282b.jpg,8229,https://www.airbnb.com/users/show/8229,Terry,2009-02-19,"Boston, MA","Relaxed,  Easy going, Accommodating. ",within an hour,1.0,0.99,t,https://a0.muscache.com/im/users/8229/profile_pic/1259099341/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/8229/profile_pic/1259099341/original.jpg?aki_policy=profile_x_medium,Roxbury,11,14,"['email', 'phone']",t,t,Neighborhood highlights,Roxbury,,42.32802,-71.09387,Entire condo,Entire home/apt,4,1.0,1 bath,0.0,2.0,"[""Cooking basics"", ""Essentials"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Shampoo"", ""Hair dryer"", ""Air conditioning"", ""Stove"", ""Oven"", ""Microwave"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Dryer"", ""Free street parking"", ""Carbon monoxide alarm"", ""Hangers"", ""Iron"", ""TV with standard cable"", ""Refrigerator"", ""Fire extinguisher"", ""Washer"", ""Hot water"", ""Smoke alarm"", ""Wifi"", ""Heating"", ""Keypad"", ""Self check-in"", ""Long term stays allowed""]",171.0,3,730,1.0,3.0,730.0,730.0,3.0,730.0,,t,0,13,43,58,2024-09-18,132,7,0,2009-08-06,2024-08-18,4.81,4.82,4.87,4.9,4.95,4.52,4.71,STR-491702,f,10,10,0,0,0.72
3,8789,https://www.airbnb.com/rooms/8789,20240918135519,2024-09-18,city scrape,Curved Glass Studio/1bd facing Park,"This unit is for sale. There will need to be occasional showings. This unit is available for a few months at the most. Bright, 1 bed with curved glass windows facing the State House! High ceilings, updated kitchen, elevator building, doorman, laundry on each floor and common roofdeck with amazing view.  Close to everything!","Beacon Hill is a historic neighborhood filled with tradition, brownstones, cobblestone streets, the Boston Common park, the State House, as well as shopping, restaurants and public transportation.",https://a0.muscache.com/pictures/miso/Hosting-8789/original/79276a31-76b8-4a0a-86d3-c2ffef3aeca2.jpeg,26988,https://www.airbnb.com/users/show/26988,Anne,2009-07-22,"Boston, MA","I manage a number of furnished units around Boston and Brookline with my business partner Joseph Morrissey.  I am a Realtor with Unlimited Sotheby's  and do sales/rentals in the greater Boston market.  I also manage a sculpture school/studio with my husband, sculptor Morris Norvin.  Stonybrook Fine Arts, is located in the Boston neighborhood Jamaica Plain across the street from the famous Sam Adams Brewery.  We offer a variety of one day workshops on our calendar including welding, jewelry and metal casting.   Longer classes are available and meet one time each week including the options above as well as mold making, live figure modeling and foundry.  Custom workshops are available for small groups, birthday parties, bachelorette parties, make your own wedding bands, create an engagement ring and team building.  We are happy to arrange a tour of Sam Adams after a daytime workshop not occurring on Sunday.  Contact us for more details to set up your custom event!_x000D_
_x000D_
",within a few hours,1.0,0.49,t,https://a0.muscache.com/im/pictures/user/d7d71322-db4f-45f8-92f7-ec27a50d5773.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d7d71322-db4f-45f8-92f7-ec27a50d5773.jpg?aki_policy=profile_x_medium,Beacon Hill,8,32,"['email', 'phone']",t,t,Neighborhood highlights,Beacon Hill,,42.35867,-71.06307,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,2.0,"[""Cooking basics"", ""Clothing storage: closet and dresser"", ""Essentials"", ""Coffee maker"", ""Kitchen"", ""Electric stove"", ""Hair dryer"", ""Air conditioning"", ""Microwave"", ""Dishes and silverware"", ""Paid dryer \u2013 In building"", ""Dining table"", ""Paid washer \u2013 In building"", ""Single level home"", ""Elevator"", ""Wine glasses"", ""Carbon monoxide alarm"", ""Patio or balcony"", ""Hangers"", ""Iron"", ""TV with standard cable"", ""Refrigerator"", ""Bathtub"", ""Bed linens"", ""Fire extinguisher"", ""Paid parking garage off premises"", ""Hot water"", ""Smoke alarm"", ""Wifi"", ""Heating"", ""Cleaning products"", ""Extra pillows and blankets"", ""Long term stays allowed""]",125.0,91,365,91.0,91.0,365.0,365.0,91.0,365.0,,t,0,0,0,140,2024-09-18,29,2,0,2014-08-12,2024-05-15,4.69,4.69,4.55,4.93,4.97,4.97,4.59,,f,4,4,0,0,0.24
4,10811,https://www.airbnb.com/rooms/10811,20240918135519,2024-09-18,city scrape,"Back Bay Apt Studio-3 blocks to Pru center & ""T""","Stunning Back Bay furnished studio apartment. Classic brick brownstone on a quiet street. Elegant large studio apartment with bow window overlooking tree lined Marlborough St. Front facing studio apt. Queen murphy be,  includes all utilities, A/C <br />Wi-Fi, TV, bedding , towels, utensils, table and chairs works space.  <br />Short walk to Newbury St, Fenway Park, ""T"" Station & hundreds of restaurants, cafes and shops.","A one-square mile neighborhood that is arguably one of the most prestigious neighborhoods in Boston, Back Bay teems with history and affluence. Copley Square is the heart of Back Bay, featuring landmarks such as the Boston Public Library and the John Hancock Tower. Shoppers and tourists also flock to the Prudential Center. Commonwealth Avenue is the pride of the neighborhood - a beautiful, tree-lined boulevard with grand mansions and other stately homes. This neighborhood, along with Beacon Hill, is the place to live for the quintessential Boston experience and is popular with young professionals and empty nesters who fled the suburbs for city living after their kids left home. The housing stock is a mixture of Victorian brownstones and larger buildings nestled between high-rises offering luxurious living in snug quarters.",https://a0.muscache.com/pictures/45735/27548f71_original.jpg,38997,https://www.airbnb.com/users/show/38997,Michelle,2009-09-16,,,within a few hours,0.89,0.55,f,https://a0.muscache.com/im/pictures/user/134447ef-915a-418a-8370-afe9642591f8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/134447ef-915a-418a-8370-afe9642591f8.jpg?aki_policy=profile_x_medium,Back Bay,22,29,"['email', 'phone']",t,t,Neighborhood highlights,Back Bay,,42.35173,-71.08685,Entire rental unit,Entire home/apt,3,1.0,1 bath,0.0,1.0,"[""Essentials"", ""Coffee maker"", ""Kitchen"", ""Shampoo"", ""Hair dryer"", ""Air conditioning"", ""Microwave"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Hangers"", ""Iron"", ""Indoor fireplace"", ""TV with standard cable"", ""Bed linens"", ""Fire extinguisher"", ""Hot water"", ""Smoke alarm"", ""Wifi"", ""Heating"", ""Pets allowed"", ""Ethernet connection"", ""Long term stays allowed""]",130.0,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,,t,0,12,42,228,2024-09-18,9,0,0,2016-01-09,2019-07-22,4.33,4.44,4.67,4.56,4.0,5.0,4.67,,f,13,13,0,0,0.09
5,10813,https://www.airbnb.com/rooms/10813,20240918135519,2024-09-18,city scrape,A Brownstone -close to subway-colleges-Newbury St-,"Stunning Back Bay furnished studio apartment. Classic brick brownstone on a quiet street. Elegant large studio apartment with bow window overlooking tree lined Marlborough St. Front facing studio apt. Queen murphy bed,  includes all utilities, A/C <br />Wi-Fi, TV, bedding , towels, utensils, table and chairs works space. <br />Short walk to Newbury St, Fenway Park, ""T"" Station & hundreds of restaurants, cafes and shops.  This apt does not come with a parking spot.   Fireplace is not operational.","Wander around this quintessential neighborhood in the heart of Boston for high-end shops, restaurants, and the feeling of city bustle. Its most identifiable skyscrapers, the Prudential Center and John Hancock Tower, are highlights of the city skyline. Visit Newbury street to explore unique and trendy boutiques â€“ as well as every other kind of store imaginable â€“ all housed in beautiful brownstone buildings. In nice weather, restaurant patio seating is packed with Bostonians and tourists alike soaking up the sunshine and enjoying the food. Commonwealth Ave offers a beautiful stroll down residential tree-lined streets. Keep walking towards the Charles River and enjoy a beautiful view by the water. In warmer months, people run and bike on paths running along the esplanade, and sail and kayak on the Charles River. Boylston street, also full of shops, bars, and restaurants, is the finish line of the Boston Marathon. Head towards Copley Square and check out the Boston Public Library, which is",https://a0.muscache.com/pictures/20b5b9c9-e1f4-43a5-9689-1293a4507510.jpg,38997,https://www.airbnb.com/users/show/38997,Michelle,2009-09-16,,,within a few hours,0.89,0.55,f,https://a0.muscache.com/im/pictures/user/134447ef-915a-418a-8370-afe9642591f8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/134447ef-915a-418a-8370-afe9642591f8.jpg?aki_policy=profile_x_medium,Back Bay,22,29,"['email', 'phone']",t,t,Neighborhood highlights,Back Bay,,42.35061,-71.08787,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,"[""Cooking basics"", ""Essentials"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Hair dryer"", ""Stove"", ""Toaster"", ""Microwave"", ""Dishes and silverware"", ""Dining table"", ""Wine glasses"", ""Body soap"", ""Carbon monoxide alarm"", ""Hangers"", ""Iron"", ""TV with standard cable"", ""Window AC unit"", ""Refrigerator"", ""Bathtub"", ""Bed linens"", ""Fire extinguisher"", ""Laundromat nearby"", ""Clothing storage: closet"", ""Freezer"", ""Housekeeping available every day - available at extra cost"", ""Hot water"", ""Smoke alarm"", ""Wifi"", ""Heating"", ""Cleaning products"", ""Baking sheet"", ""Long term stays allowed""]",117.0,32,1125,32.0,32.0,1125.0,1125.0,32.0,1125.0,,t,1,19,49,324,2024-09-18,5,1,0,2019-03-17,2023-11-19,5.0,5.0,4.8,5.0,5.0,5.0,4.8,,f,13,13,0,0,0.07
6,10986,https://www.airbnb.com/rooms/10986,20240918135519,2024-09-18,city scrape,North End (Waterfront area)  CLOSE TO MGH & SUBWAY,"Chic furnished studio apartment is located on Waterfront & North End.  Close (10 min walk) to Mass General Hospital, Mass Eye & Ear, TD Boston Garden and Mass Transit station. One block to Hanover Street restaurants, shops & cafes.  Easy walk (5 min) to Fanieul Hall Marketplace, City Hall and Haymarket farmers market.  Take the ""T"" to Back Bay neighborhood, including Northeastern University, Berklee Univ or into Cambridge Ma.",,https://a0.muscache.com/pictures/46994/567b6064_original.jpg,38997,https://www.airbnb.com/users/show/38997,Michelle,2009-09-16,,,within a few hours,0.89,0.55,f,https://a0.muscache.com/im/pictures/user/134447ef-915a-418a-8370-afe9642591f8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/134447ef-915a-418a-8370-afe9642591f8.jpg?aki_policy=profile_x_medium,Back Bay,22,29,"['email', 'phone']",t,t,,North End,,42.36377,-71.05206,Entire condo,Entire home/apt,2,1.0,1 bath,0.0,1.0,"[""Cooking basics"", ""Essentials"", ""Ge stainless steel oven"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Lockbox"", ""Hair dryer"", ""Toaster"", ""Free washer \u2013 In building"", ""Microwave"", ""Dishes and silverware"", ""Hot water kettle"", ""GE gas stove"", ""Free dryer \u2013 In building"", ""Wine glasses"", ""Carbon monoxide alarm"", ""Hangers"", ""Iron"", ""TV with standard cable"", ""Window AC unit"", ""Refrigerator"", ""Bathtub"", ""Bed linens"", ""Fire extinguisher"", ""Freezer"", ""Hot water"", ""Smoke alarm"", ""Wifi"", ""Heating"", ""Self check-in"", ""Baking sheet"", ""Pets allowed"", ""Long term stays allowed""]",130.0,32,1125,30.0,32.0,1125.0,1125.0,31.9,1125.0,,t,0,12,41,316,2024-09-18,1,1,0,2024-01-05,2024-01-05,4.0,5.0,3.0,2.0,5.0,5.0,4.0,,f,13,13,0,0,0.12
7,18711,https://www.airbnb.com/rooms/18711,20240918135519,2024-09-18,city scrape,230B1 Â· The Dorset Redline | 3BR 1BA w/Central Air,"NEW for May 2022!  Full-size Washer AND Dryer inside the unit!  Incredible convenience and comfort. <br /> <br />Our comfortable three-bedroom apartment with tons of light has a true neighborhood feel! It comfortably fits four and is centrally located just a few blocks from Upham's Corner. Enjoy a short walk to the Redline of the Subway and zip into downtown! <br /> <br />** This rental requires a minimum booking of 30 nights. Regardless of nights physically occupied, no bookings for less than 30 nights will be acc","Once its own city, Dorchester is now Bostonâ€™s largest and most diverse neighborhood, evident in the wide variety of global cuisines found on Dorchester Avenue. The district hosts UMass Boston and the John F. Kennedy Presidential Library, with artifacts from the presidentâ€™s life and exhibits on the civil rights era. The Neponset River meanders past several parks, and nearby Franklin Park has woodland trails and a zoo.",https://a0.muscache.com/pictures/prohost-api/Hosting-18711/original/0b63f602-512c-4fe7-ae2d-f0dd7a3d035c.jpeg,71783,https://www.airbnb.com/users/show/71783,Lance,2010-01-19,"Boston, MA","Lance R. Swank, Principal_x000D_
_x000D_
His units offer comfortable and luxurious appointments to compliment the style of the building, whether a newly constructed condo or a historic Brownstone. Visitors to Boston seeking a furnished apartment without the corporate, hotel-room-like feel of most furnished rentals will find themselves more at home in Lanceâ€™s spaces._x000D_
_x000D_
Lance is the President of LSBM Management, LLC and holds an MBA degree from of the F.W. Olin Graduate School of Business at Babson College. He lives and invests in the City of Boston.",within an hour,1.0,0.98,f,https://a0.muscache.com/im/users/71783/profile_pic/1342801683/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/71783/profile_pic/1342801683/original.jpg?aki_policy=profile_x_medium,Dorchester,30,68,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Dorchester,,42.32212,-71.06096,Entire rental unit,Entire home/apt,7,1.0,1 bath,3.0,3.0,"[""Cooking basics"", ""Essentials"", ""Exterior security cameras on property"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Shampoo"", ""Hair dryer"", ""Air conditioning"", ""Stove"", ""Toaster"", ""Oven"", ""Clothing storage"", ""Microwave"", ""Hot water kettle"", ""Dishes and silverware"", ""Smart lock"", ""Private entrance"", ""Dryer"", ""Free street parking"", ""Carbon monoxide alarm"", ""Hangers"", ""Iron"", ""TV with standard cable"", ""Refrigerator"", ""Bed linens"", ""Fire extinguisher"", ""Washer"", ""Dedicated workspace"", ""Hot water"", ""Smoke alarm"", ""Wifi"", ""Heating"", ""Self check-in""]",143.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,,t,0,0,17,138,2024-09-18,52,0,0,2010-05-12,2023-08-19,4.31,4.5,4.71,4.56,4.46,4.24,4.48,,t,29,14,15,0,0.3
12,60029,https://www.airbnb.com/rooms/60029,20240918135519,2024-09-18,city scrape,Room in geographical heart of Hub,"Small, sunny, private room in quiet but urban neighborhood, 3 miles from the city center, 1.5 miles from Longwood hospitals and Fenway colleges. Please do not book without first reading through the entire post and sending me a query!","Architecturally interesting, historic (Roxbury Highland Historic District was listed on the National Register of Historic Places in 1988), economically, racially and ethnically diverse, and quiet residential neighborhood.  Formerly part of what was called the Boston Highlands, it is now known as Highland Park or Fort Hill and my house is on a hill.  On a hill.  Yes, two hills.",https://a0.muscache.com/pictures/3bf41756-488c-43b6-a66d-1e752ba09082.jpg,255183,https://www.airbnb.com/users/show/255183,Michelle,2010-10-06,"Boston, MA","A native Bostonian, I can fill you in on the city's history and what's happening now - or not - depending on what you need and want while you're here.  Come visit!",within a few hours,1.0,0.72,t,https://a0.muscache.com/im/users/255183/profile_pic/1343246470/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/255183/profile_pic/1343246470/original.jpg?aki_policy=profile_x_medium,Roxbury,5,6,"['email', 'phone']",t,t,Neighborhood highlights,Roxbury,,42.32546,-71.08894,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Essentials"", ""Coffee maker"", ""Kitchen"", ""Shampoo"", ""Hair dryer"", ""Dishes and silverware"", ""Free street parking"", ""Shared backyard \u2013 Not fully fenced"", ""Host greets you"", ""Carbon monoxide alarm"", ""Smoking allowed"", ""Hangers"", ""Iron"", ""Refrigerator"", ""First aid kit"", ""Bed linens"", ""Fire extinguisher"", ""Outdoor furniture"", ""Dedicated workspace"", ""Hot water"", ""Smoke alarm"", ""Wifi"", ""Heating"", ""Lock on bedroom door"", ""Extra pillows and blankets""]",80.0,29,29,29.0,29.0,29.0,29.0,29.0,29.0,,t,0,1,17,107,2024-09-18,145,2,0,2011-01-01,2024-02-29,4.73,4.65,4.57,4.87,4.91,4.16,4.63,STR-415714,f,5,1,4,0,0.87
13,60356,https://www.airbnb.com/rooms/60356,20240918135519,2024-09-18,city scrape,Bookcase 1bd facing Boston Common,"Live beside the Boston Common and the State House in picturesque Beacon Hill!  This sunny 6th floor condo overlooks the Common and the State House, it has parquet wood floors, good closet space and ceiling fans. The building features a concierge, elevator, common roofdeck with amazing views, laundry and rubbish room on each floor. It is conveniently located close to transportation, shopping, restaurants, the Financial District, Government Center and the Theater District.",,https://a0.muscache.com/pictures/e0b12f2f-06c3-42bf-b10c-b2240021b927.jpg,26988,https://www.airbnb.com/users/show/26988,Anne,2009-07-22,"Boston, MA","I manage a number of furnished units around Boston and Brookline with my business partner Joseph Morrissey.  I am a Realtor with Unlimited Sotheby's  and do sales/rentals in the greater Boston market.  I also manage a sculpture school/studio with my husband, sculptor Morris Norvin.  Stonybrook Fine Arts, is located in the Boston neighborhood Jamaica Plain across the street from the famous Sam Adams Brewery.  We offer a variety of one day workshops on our calendar including welding, jewelry and metal casting.   Longer classes are available and meet one time each week including the options above as well as mold making, live figure modeling and foundry.  Custom workshops are available for small groups, birthday parties, bachelorette parties, make your own wedding bands, create an engagement ring and team building.  We are happy to arrange a tour of Sam Adams after a daytime workshop not occurring on Sunday.  Contact us for more details to set up your custom event!_x000D_
_x000D_
",within a few hours,1.0,0.49,t,https://a0.muscache.com/im/pictures/user/d7d71322-db4f-45f8-92f7-ec27a50d5773.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d7d71322-db4f-45f8-92f7-ec27a50d5773.jpg?aki_policy=profile_x_medium,Beacon Hill,8,32,"['email', 'phone']",t,t,,Beacon Hill,,42.35894,-71.0631,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Cooking basics"", ""Essentials"", ""Coffee maker"", ""Kitchen"", ""Hair dryer"", ""Air conditioning"", ""Paid parking off premises"", ""Stove"", ""Oven"", ""Microwave"", ""Dishes and silverware"", ""Elevator"", ""Dryer"", ""Carbon monoxide alarm"", ""Hangers"", ""Iron"", ""TV with standard cable"", ""Refrigerator"", ""Fire extinguisher"", ""Washer"", ""Hot water"", ""Smoke alarm"", ""Wifi"", ""Heating"", ""Long term stays allowed""]",100.0,32,365,32.0,32.0,365.0,365.0,32.0,365.0,,t,17,47,77,352,2024-09-18,19,0,0,2013-11-10,2020-09-08,4.84,4.89,4.63,4.84,4.89,5.0,4.68,,f,4,4,0,0,0.14
