,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
7,18711,https://www.airbnb.com/rooms/18711,20240918135519,2024-09-18,city scrape,230B1 Â· The Dorset Redline | 3BR 1BA w/Central Air,"NEW for May 2022!  Full-size Washer AND Dryer inside the unit!  Incredible convenience and comfort. <br /> <br />Our comfortable three-bedroom apartment with tons of light has a true neighborhood feel! It comfortably fits four and is centrally located just a few blocks from Upham's Corner. Enjoy a short walk to the Redline of the Subway and zip into downtown! <br /> <br />** This rental requires a minimum booking of 30 nights. Regardless of nights physically occupied, no bookings for less than 30 nights will be acc","Once its own city, Dorchester is now Bostonâ€™s largest and most diverse neighborhood, evident in the wide variety of global cuisines found on Dorchester Avenue. The district hosts UMass Boston and the John F. Kennedy Presidential Library, with artifacts from the presidentâ€™s life and exhibits on the civil rights era. The Neponset River meanders past several parks, and nearby Franklin Park has woodland trails and a zoo.",https://a0.muscache.com/pictures/prohost-api/Hosting-18711/original/0b63f602-512c-4fe7-ae2d-f0dd7a3d035c.jpeg,71783,https://www.airbnb.com/users/show/71783,Lance,2010-01-19,"Boston, MA","Lance R. Swank, Principal_x000D_
_x000D_
His units offer comfortable and luxurious appointments to compliment the style of the building, whether a newly constructed condo or a historic Brownstone. Visitors to Boston seeking a furnished apartment without the corporate, hotel-room-like feel of most furnished rentals will find themselves more at home in Lanceâ€™s spaces._x000D_
_x000D_
Lance is the President of LSBM Management, LLC and holds an MBA degree from of the F.W. Olin Graduate School of Business at Babson College. He lives and invests in the City of Boston.",within an hour,1.0,0.98,f,https://a0.muscache.com/im/users/71783/profile_pic/1342801683/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/71783/profile_pic/1342801683/original.jpg?aki_policy=profile_x_medium,Dorchester,30,68,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Dorchester,,42.32212,-71.06096,Entire rental unit,Entire home/apt,7,1.0,1 bath,3.0,3.0,"[""Cooking basics"", ""Essentials"", ""Exterior security cameras on property"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Shampoo"", ""Hair dryer"", ""Air conditioning"", ""Stove"", ""Toaster"", ""Oven"", ""Clothing storage"", ""Microwave"", ""Hot water kettle"", ""Dishes and silverware"", ""Smart lock"", ""Private entrance"", ""Dryer"", ""Free street parking"", ""Carbon monoxide alarm"", ""Hangers"", ""Iron"", ""TV with standard cable"", ""Refrigerator"", ""Bed linens"", ""Fire extinguisher"", ""Washer"", ""Dedicated workspace"", ""Hot water"", ""Smoke alarm"", ""Wifi"", ""Heating"", ""Self check-in""]",143.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,,t,0,0,17,138,2024-09-18,52,0,0,2010-05-12,2023-08-19,4.31,4.5,4.71,4.56,4.46,4.24,4.48,,t,29,14,15,0,0.3
18,163941,https://www.airbnb.com/rooms/163941,20240918135519,2024-09-18,city scrape,Fort Hill Inn  2 bed Duplex ApT!  Location!,"**Excellent Sunny** Fully equipped Private Duplex Apartment!   Walking distance to Museums, Northeastern U and Hospitals.  1.5 miles to the center of the attractions.  1-2 miles to Fenway Park.  Perfect Boston Home Base!  Accommodates up to 6 guests!","Peaceful, Architecturally interesting, historic, diverse, and quiet. Racially, culturally and economically diverse. We are located in a quiet residential neighborhood.",https://a0.muscache.com/pictures/miso/Hosting-163941/original/97bc986a-c9b3-42ed-980a-3532e19c8649.jpeg,8229,https://www.airbnb.com/users/show/8229,Terry,2009-02-19,"Boston, MA","Relaxed,  Easy going, Accommodating. ",within an hour,1.0,0.99,t,https://a0.muscache.com/im/users/8229/profile_pic/1259099341/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/8229/profile_pic/1259099341/original.jpg?aki_policy=profile_x_medium,Roxbury,11,14,"['email', 'phone']",t,t,Neighborhood highlights,Roxbury,,42.32806,-71.09423,Entire condo,Entire home/apt,6,1.0,1 bath,2.0,3.0,"[""Cooking basics"", ""Essentials"", ""Exterior security cameras on property"", ""Coffee maker"", ""Kitchen"", ""Shampoo"", ""Hair dryer"", ""Air conditioning"", ""Stove"", ""Oven"", ""Microwave"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Private entrance"", ""Dryer"", ""Free street parking"", ""Carbon monoxide alarm"", ""Patio or balcony"", ""Hangers"", ""Iron"", ""TV with standard cable"", ""Refrigerator"", ""Bed linens"", ""Fire extinguisher"", ""Washer"", ""Dedicated workspace"", ""Hot water"", ""Smoke alarm"", ""Wifi"", ""Heating"", ""Keypad"", ""Self check-in"", ""Extra pillows and blankets"", ""Long term stays allowed""]",263.0,3,365,3.0,3.0,365.0,365.0,3.0,365.0,,t,4,15,44,59,2024-09-18,280,13,1,2011-08-19,2024-08-23,4.69,4.84,4.81,4.89,4.89,4.44,4.66,STR-446659,f,10,10,0,0,1.76
32,530983,https://www.airbnb.com/rooms/530983,20240918135519,2024-09-18,city scrape,14P Â· The Grand View Redline | 5BR 2BA,Our elegant four+ bedroom Victorian Era home with tons of light has a true neighborhood feel! It comfortably fits a large family and is centrally located just a few blocks from Savin Hill. Enjoy a short walk to the Redline of the Subway and zip into downtown!,"Once its own city, Dorchester is now Bostonâ€™s largest and most diverse neighborhood, evident in the wide variety of global cuisines found on Dorchester Avenue. The district hosts UMass Boston and the John F. Kennedy Presidential Library, with artifacts from the presidentâ€™s life and exhibits on the civil rights era. The Neponset River meanders past several parks, and nearby Franklin Park has woodland trails and a zoo. <br /> <br />Dorchester is also home to Franklin Park, the â€œcrown jewelâ€ of the Emerald Necklace Park System. The park has more 527 acres of green space, a zoo, and public golf course. Among the dozens of other parks in the neighborhood, recently renovated Pope John Paul II Park offers numerous walking and bike paths, athletic fields, and picnic areas with beautiful views of Boston Harbor and the Neponset River.",https://a0.muscache.com/pictures/prohost-api/Hosting-530983/original/3e9a7c69-7b89-4064-abe6-290f1071dacb.jpeg,71783,https://www.airbnb.com/users/show/71783,Lance,2010-01-19,"Boston, MA","Lance R. Swank, Principal_x000D_
_x000D_
His units offer comfortable and luxurious appointments to compliment the style of the building, whether a newly constructed condo or a historic Brownstone. Visitors to Boston seeking a furnished apartment without the corporate, hotel-room-like feel of most furnished rentals will find themselves more at home in Lanceâ€™s spaces._x000D_
_x000D_
Lance is the President of LSBM Management, LLC and holds an MBA degree from of the F.W. Olin Graduate School of Business at Babson College. He lives and invests in the City of Boston.",within an hour,1.0,0.98,f,https://a0.muscache.com/im/users/71783/profile_pic/1342801683/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/71783/profile_pic/1342801683/original.jpg?aki_policy=profile_x_medium,Dorchester,30,68,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Dorchester,,42.31368,-71.0612,Entire home,Entire home/apt,9,2.0,2 baths,5.0,5.0,"[""Cooking basics"", ""Essentials"", ""Pack \u2019n play/Travel crib"", ""Exterior security cameras on property"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Shampoo"", ""Lockbox"", ""Hair dryer"", ""Air conditioning"", ""Stove"", ""Toaster"", ""Oven"", ""Clothing storage"", ""Microwave"", ""Hot water kettle"", ""Dishes and silverware"", ""Free parking on premises"", ""Dryer"", ""High chair"", ""Carbon monoxide alarm"", ""Hangers"", ""Iron"", ""Indoor fireplace"", ""TV with standard cable"", ""Refrigerator"", ""Bathtub"", ""Bed linens"", ""Fire extinguisher"", ""Washer"", ""Dedicated workspace"", ""Hot water"", ""Smoke alarm"", ""Wifi"", ""Heating"", ""Self check-in""]",270.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,,t,0,0,0,171,2024-09-18,65,0,0,2012-11-11,2019-10-29,4.4,4.67,4.4,4.8,4.59,4.54,4.59,,t,29,14,15,0,0.45
33,533152,https://www.airbnb.com/rooms/533152,20240918135519,2024-09-18,city scrape,230B4 Â· The Penthouse w/Central AC | 2BR 1BA w/En-,Our comfortable two-bedroom apartment with tons of light has a true neighborhood feel! It comfortably fits five and is centrally located just a few blocks from Upham's Corner. Enjoy a short walk to the Redline of the Subway and zip into downtown!,"Dorchester is also home to Franklin Park, the â€œcrown jewelâ€ of the Emerald Necklace Park System. The park has more 527 acres of green space, a zoo, and public golf course. Among the dozens of other parks in the neighborhood, recently renovated Pope John Paul II Park offers numerous walking and bike paths, athletic fields, and picnic areas with beautiful views of Boston Harbor and the Neponset River.",https://a0.muscache.com/pictures/prohost-api/Hosting-533152/original/ab99b10d-08ff-4866-a960-5caf8c2f13c9.jpeg,71783,https://www.airbnb.com/users/show/71783,Lance,2010-01-19,"Boston, MA","Lance R. Swank, Principal_x000D_
_x000D_
His units offer comfortable and luxurious appointments to compliment the style of the building, whether a newly constructed condo or a historic Brownstone. Visitors to Boston seeking a furnished apartment without the corporate, hotel-room-like feel of most furnished rentals will find themselves more at home in Lanceâ€™s spaces._x000D_
_x000D_
Lance is the President of LSBM Management, LLC and holds an MBA degree from of the F.W. Olin Graduate School of Business at Babson College. He lives and invests in the City of Boston.",within an hour,1.0,0.98,f,https://a0.muscache.com/im/users/71783/profile_pic/1342801683/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/71783/profile_pic/1342801683/original.jpg?aki_policy=profile_x_medium,Dorchester,30,68,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Dorchester,,42.32212,-71.06096,Entire rental unit,Entire home/apt,5,1.0,1 bath,2.0,2.0,"[""Cooking basics"", ""Essentials"", ""Pack \u2019n play/Travel crib"", ""Exterior security cameras on property"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Shampoo"", ""Hair dryer"", ""Air conditioning"", ""Stove"", ""Toaster"", ""Oven"", ""Clothing storage"", ""Microwave"", ""Hot water kettle"", ""Dishes and silverware"", ""Smart lock"", ""Baby safety gates"", ""Private entrance"", ""Dryer"", ""High chair"", ""Carbon monoxide alarm"", ""Hangers"", ""Iron"", ""TV with standard cable"", ""Refrigerator"", ""Bed linens"", ""Fire extinguisher"", ""Washer"", ""Dedicated workspace"", ""Hot water"", ""Smoke alarm"", ""Wifi"", ""Heating"", ""Self check-in"", ""Private patio or balcony""]",135.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,,t,5,15,45,309,2024-09-18,63,2,0,2014-04-14,2024-07-16,4.67,4.84,4.78,4.49,4.51,4.46,4.72,,t,29,14,15,0,0.5
34,579605,https://www.airbnb.com/rooms/579605,20240918135519,2024-09-18,city scrape,230B3  Â· The Mayhew w/Central AC and Laundry! | 2B,"NEW for May 2022!  Full-size Washer AND Dryer inside the unit!  Incredible convenience and comfort. <br /> <br />Our comfortable two-bedroom apartment with tons of light has a true neighborhood feel! It comfortably fits four and is centrally located just a few blocks from Upham's Corner. Enjoy a short walk to the Redline of the Subway and zip into downtown! <br /> <br />** This rental requires a minimum booking of 30 nights. Regardless of nights physically occupied, no bookings for less than 30 nights will be accep","Once its own city, Dorchester is now Bostonâ€™s largest and most diverse neighborhood, evident in the wide variety of global cuisines found on Dorchester Avenue. The district hosts UMass Boston and the John F. Kennedy Presidential Library, with artifacts from the presidentâ€™s life and exhibits on the civil rights era. The Neponset River meanders past several parks, and nearby Franklin Park has woodland trails and a zoo. <br /> <br />Dorchester is also home to Franklin Park, the â€œcrown jewelâ€ of the Emerald Necklace Park System. The park has more 527 acres of green space, a zoo, and public golf course. Among the dozens of other parks in the neighborhood, recently renovated Pope John Paul II Park offers numerous walking and bike paths, athletic fields, and picnic areas with beautiful views of Boston Harbor and the Neponset River.",https://a0.muscache.com/pictures/prohost-api/Hosting-579605/original/00df2b84-d0bb-4cb4-973f-18a61aaeccaa.jpeg,71783,https://www.airbnb.com/users/show/71783,Lance,2010-01-19,"Boston, MA","Lance R. Swank, Principal_x000D_
_x000D_
His units offer comfortable and luxurious appointments to compliment the style of the building, whether a newly constructed condo or a historic Brownstone. Visitors to Boston seeking a furnished apartment without the corporate, hotel-room-like feel of most furnished rentals will find themselves more at home in Lanceâ€™s spaces._x000D_
_x000D_
Lance is the President of LSBM Management, LLC and holds an MBA degree from of the F.W. Olin Graduate School of Business at Babson College. He lives and invests in the City of Boston.",within an hour,1.0,0.98,f,https://a0.muscache.com/im/users/71783/profile_pic/1342801683/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/71783/profile_pic/1342801683/original.jpg?aki_policy=profile_x_medium,Dorchester,30,68,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Dorchester,,42.32212,-71.06095,Entire rental unit,Entire home/apt,5,1.0,1 bath,3.0,2.0,"[""Cooking basics"", ""Essentials"", ""Pack \u2019n play/Travel crib"", ""Exterior security cameras on property"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Shampoo"", ""Hair dryer"", ""Air conditioning"", ""Stove"", ""Toaster"", ""Oven"", ""Clothing storage"", ""Microwave"", ""Hot water kettle"", ""Dishes and silverware"", ""Private entrance"", ""Dryer"", ""High chair"", ""Carbon monoxide alarm"", ""Hangers"", ""Iron"", ""TV with standard cable"", ""Refrigerator"", ""Bed linens"", ""Fire extinguisher"", ""Washer"", ""Dedicated workspace"", ""Hot water"", ""Smoke alarm"", ""Wifi"", ""Heating"", ""Keypad"", ""Self check-in""]",145.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,,t,0,0,0,247,2024-09-18,58,0,0,2012-08-26,2023-08-14,4.43,4.64,4.67,4.66,4.47,4.29,4.52,,t,29,14,15,0,0.39
36,601763,https://www.airbnb.com/rooms/601763,20240918135519,2024-09-18,city scrape,The Alameda 2 w/AC | 2BR 1BA | Short walk shops!,"Our comfy two-bedroom apartment has tons of light, situated in a leafy Boston neighborhood! It comfortably fits six and is conveniently located next to Brookline and Newton. Enjoy a short walk to the Train or Bus,  zip into downtown! And street parking is incredibly easy here!  No meters, no parking restrictions and no parking limits.  Take a look at the pictures to see what parking is always like!<br /><br />** Monthly stays only.  Please contact us for other options in the Greater Boston Area**",,https://a0.muscache.com/pictures/prohost-api/Hosting-601763/original/b0ad7b82-393f-40eb-ab71-1f813f519475.jpeg,71783,https://www.airbnb.com/users/show/71783,Lance,2010-01-19,"Boston, MA","Lance R. Swank, Principal_x000D_
_x000D_
His units offer comfortable and luxurious appointments to compliment the style of the building, whether a newly constructed condo or a historic Brownstone. Visitors to Boston seeking a furnished apartment without the corporate, hotel-room-like feel of most furnished rentals will find themselves more at home in Lanceâ€™s spaces._x000D_
_x000D_
Lance is the President of LSBM Management, LLC and holds an MBA degree from of the F.W. Olin Graduate School of Business at Babson College. He lives and invests in the City of Boston.",within an hour,1.0,0.98,f,https://a0.muscache.com/im/users/71783/profile_pic/1342801683/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/71783/profile_pic/1342801683/original.jpg?aki_policy=profile_x_medium,Dorchester,30,68,"['email', 'phone', 'work_email']",t,t,,West Roxbury,,42.29192,-71.15407,Entire rental unit,Entire home/apt,5,1.0,1 bath,3.0,3.0,"[""Cooking basics"", ""Essentials"", ""Exterior security cameras on property"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Lockbox"", ""Hair dryer"", ""Air conditioning"", ""Stove"", ""Toaster"", ""Oven"", ""Clothing storage"", ""Microwave"", ""Hot water kettle"", ""Dishes and silverware"", ""Dining table"", ""Dryer"", ""Wine glasses"", ""Free street parking"", ""Carbon monoxide alarm"", ""Hangers"", ""Iron"", ""TV with standard cable"", ""Refrigerator"", ""Bathtub"", ""Bed linens"", ""Fire extinguisher"", ""Washer"", ""Dedicated workspace"", ""Freezer"", ""Hot water"", ""Children\u2019s dinnerware"", ""Smoke alarm"", ""Wifi"", ""Heating"", ""Self check-in"", ""Cleaning products"", ""Extra pillows and blankets""]",135.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,,t,18,48,78,342,2024-09-18,43,0,0,2017-04-05,2022-12-31,4.56,4.63,4.67,4.6,4.42,4.58,4.44,,t,29,14,15,0,0.47
37,611081,https://www.airbnb.com/rooms/611081,20240918135519,2024-09-18,city scrape,Houseboat in Boston Harbor,Staying on the houseboat is a unique and  very fun way to visit Boston.<br />Many of my guests say they love visiting the city sights but can not wait to come home to the Blue Pearl and the relaxation that happens when you stay on the water.  Walk to area attractions. Spend a busy day sightseeing in the city and return each evening to the peacefulness of being on the water. Sip a cocktail on one of two decks and watch the boats in the harbor.  Be rocked to sleep each night.,"The location is quiet, residential in nature. The harbor walk is steps away.  Thomas Menino Park is next to the marina with great skyline views and children's playground. we are a block from Spaulding rehab.  You can escape from the frenetic pace of downtown in the evening and enjoy solitude on the boat.",https://a0.muscache.com/pictures/7739101/2b09abdd_original.jpg,3029783,https://www.airbnb.com/users/show/3029783,Deborah,2012-07-23,,,within an hour,1.0,1.0,t,https://a0.muscache.com/im/pictures/user/86735f20-796d-4576-bc2f-5fb9ce4c44b1.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/86735f20-796d-4576-bc2f-5fb9ce4c44b1.jpg?aki_policy=profile_x_medium,Charlestown,18,21,"['email', 'phone']",t,f,Neighborhood highlights,Charlestown,,42.37579,-71.04981,Boat,Entire home/apt,6,1.0,1 bath,1.0,4.0,"[""Cooking basics"", ""Essentials"", ""Exterior security cameras on property"", ""Coffee maker"", ""Kitchen"", ""Paid parking on premises"", ""Bay view"", ""Hair dryer"", ""Air conditioning"", ""Toaster"", ""Microwave"", ""Dishes and silverware"", ""Host greets you"", ""Carbon monoxide alarm"", ""Patio or balcony"", ""Hangers"", ""Iron"", ""Refrigerator"", ""First aid kit"", ""Bed linens"", ""Fire extinguisher"", ""City skyline view"", ""Laundromat nearby"", ""Hot water"", ""Marina view"", ""Smoke alarm"", ""Wifi"", ""TV"", ""Heating"", ""Pets allowed"", ""Harbor view"", ""Extra pillows and blankets""]",238.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,,t,11,31,54,314,2024-09-18,121,33,0,2016-09-15,2024-08-16,4.81,4.84,4.68,4.79,4.87,4.84,4.63,STR-416892,t,3,3,0,0,1.24
41,743211,https://www.airbnb.com/rooms/743211,20240918135519,2024-09-18,previous scrape,Unique Find: At Home in the City!,"A unique find - at home in Boston's hippest neighborhood. You'll enjoy an actual home with a deck, patio and garden for your kids to run around in. Such privacy in the center of Boston is quite rare.  It's a short trip from the airport and close to the center of town and public transportation.","People want to live and visit Jamaica Plain because it has a hip vibe, is close to downtown, and has the most parks in the entire metropolitan area. My house is on a short two block street with primarily row houses.  It's at the foot of Sumner Hill which is filled with Victorian Mansions. It's fun to stroll around and imagine upper class life in the late 1800's. There is also a house dating from the 1700's on the main drag - Center Street.  That's where the action is and it's only a 5 minute walk from my house.  The Arnold Arboretum and Franklin Park total over 500 acres of open space and are less than a 10 minute walk. They are part of the Emerald .Necklace Greenway which was designed by Olmstead - who also designed Central Park. The wonderful lake, Jamaica Pond, is also nearby.  Most of my guests love to take a walk or run in the Arboretum.",https://a0.muscache.com/pictures/6b15b14c-34b4-40fe-b318-8e6626c9c2e5.jpg,2796082,https://www.airbnb.com/users/show/2796082,Margaret,2012-07-01,"Boston, MA","Hello!  I'm a Texas native that hasn't lost my ""ya'll"" even though I've lived in Boston for over 20 years. I spend most of my time outdoors - enjoying my garden, walking in nearby nature preserves, going on long,long bike rides, and escaping to the beach. I actually love winter because I ski in the parks near my house every day when there's snow on the ground.  It's a great way to exercise my dog, Lulu. I'm a political liberal, inveterate traveler and amateur classical musician though I love music of all sorts. I've loved being an airbnb host because I meet so many great people from all over the world.  I am happy to give you tips about Boston and spend time on the deck together.  I'm also happy to remain unobtrusive.  I look forwarding hosting you.   ",within an hour,1.0,0.99,t,https://a0.muscache.com/im/pictures/user/1a19ee9e-d57e-4fac-a845-46613fb48e39.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/1a19ee9e-d57e-4fac-a845-46613fb48e39.jpg?aki_policy=profile_x_medium,Jamaica Plain,2,3,"['email', 'phone']",t,t,Neighborhood highlights,Jamaica Plain,,42.30702,-71.11283,Entire home,Entire home/apt,10,,2.5 baths,4.0,,"[""Cooking basics"", ""Essentials"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Shampoo"", ""Hair dryer"", ""Air conditioning"", ""Stove"", ""Oven"", ""Microwave"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Private entrance"", ""Dryer"", ""Free street parking"", ""Carbon monoxide alarm"", ""Hangers"", ""Iron"", ""Indoor fireplace"", ""Refrigerator"", ""Bed linens"", ""Fire extinguisher"", ""Room-darkening shades"", ""Washer"", ""Shared patio or balcony"", ""Hot water"", ""Smoke alarm"", ""Wifi"", ""TV"", ""Heating"", ""Keypad"", ""Self check-in"", ""Backyard"", ""Extra pillows and blankets""]",,4,30,3.0,5.0,1125.0,1125.0,3.4,1125.0,,t,7,27,49,208,2024-09-18,82,8,1,2013-03-27,2024-09-02,4.85,4.78,4.73,4.99,4.98,4.68,4.54,STR-454183,f,2,2,0,0,0.59
46,849408,https://www.airbnb.com/rooms/849408,20240918135519,2024-09-18,city scrape,"Perfect & Practical Boston Rental (1,500+ sqft)","This is a cozy and spacious two-story, 3 bedroom unit with everything you need to make your stay a comfortable one.  A true ""home away from home."" Recently renovated 2nd floor and new furniture throughout.","This neighborhood truly has it all.  Good, not overpriced restaurants and a variety of food.  Everything you need (groceries, zipcar, alcohol, etc.) is within a mile.  It's ideally close to the city center but in a quiet residential area.  My guests tell me they feel like they are ""home"" when they stay here.",https://a0.muscache.com/pictures/622f3127-85bf-46e4-9f98-29e336c291d4.jpg,4434391,https://www.airbnb.com/users/show/4434391,Damon,2012-12-18,"Boston, MA","Hi, I am a proud single father and happy-go-lucky kind of guy with a caretaking spirit and adventurous soul.  I really enjoy being a host and take great pride in providing clean and comfortable accommodations for a good price!  Look forward to hosting you!",within an hour,1.0,0.98,t,https://a0.muscache.com/im/pictures/user/146ac843-1665-46eb-9739-09aa34f97841.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/146ac843-1665-46eb-9739-09aa34f97841.jpg?aki_policy=profile_x_medium,Roslindale,2,3,"['email', 'phone']",t,t,Neighborhood highlights,Roslindale,,42.29038,-71.13919,Entire rental unit,Entire home/apt,8,2.0,2 baths,3.0,5.0,"[""Cooking basics"", ""Barbecue utensils"", ""BBQ grill"", ""Clothing storage: closet and dresser"", ""Essentials"", ""Pack \u2019n play/Travel crib"", ""Exterior security cameras on property"", ""Free washer \u2013 In unit"", ""Blender"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Shampoo"", ""Lockbox"", ""Hair dryer"", ""Conditioner"", ""Toaster"", ""Oven"", ""65 inch HDTV with HBO Max, Disney+, Apple TV, Hulu, Amazon Prime Video, Netflix, standard cable"", ""Microwave"", ""Hot water kettle"", ""Dishes and silverware"", ""Ceiling fan"", ""Portable fans"", ""Dining table"", ""Outdoor dining area"", ""Luggage dropoff allowed"", ""Rice maker"", ""Books and reading material"", ""Private entrance"", ""Wine glasses"", ""Shared backyard \u2013 Not fully fenced"", ""Free street parking"", ""Body soap"", ""Carbon monoxide alarm"", ""Coffee"", ""Shower gel"", ""Mini fridge"", ""Hangers"", ""Iron"", ""Free driveway parking on premises \u2013 4 spaces"", ""Window AC unit"", ""First aid kit"", ""Bathtub"", ""Bed linens"", ""Fire extinguisher"", ""Refrigerator"", ""Outdoor furniture"", ""Laundromat nearby"", ""Room-darkening shades"", ""Dedicated workspace"", ""Gas stove"", ""Shared patio or balcony"", ""Fireplace guards"", ""Freezer"", ""Fast wifi \u2013 93 Mbps"", ""Hot water"", ""Smoke alarm"", ""Board games"", ""Heating"", ""Self check-in"", ""Cleaning products"", ""Baking sheet"", ""Free dryer \u2013 In unit"", ""Extra pillows and blankets"", ""Long term stays allowed""]",369.0,4,1125,4.0,5.0,1125.0,1125.0,4.1,1125.0,,t,4,25,55,110,2024-09-18,103,17,0,2014-01-02,2024-08-13,4.86,4.91,4.85,4.93,4.92,4.73,4.78,STR-456742,f,2,2,0,0,0.79
57,1109224,https://www.airbnb.com/rooms/1109224,20240918135519,2024-09-18,city scrape,4 bedroom Victorian Condo unit,,,https://a0.muscache.com/pictures/17730638/4f5395df_original.jpg,1531239,https://www.airbnb.com/users/show/1531239,Lita,2011-12-23,"Boston, MA",0,within a few hours,1.0,1.0,f,https://a0.muscache.com/im/users/1531239/profile_pic/1366909042/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1531239/profile_pic/1366909042/original.jpg?aki_policy=profile_x_medium,Jamaica Plain,1,1,"['email', 'phone']",t,t,,Jamaica Plain,,42.32031,-71.1129,Entire condo,Entire home/apt,8,2.0,2 baths,4.0,6.0,"[""Cooking basics"", ""Essentials"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Shampoo"", ""Hair dryer"", ""Air conditioning"", ""Conditioner"", ""Stove"", ""Oven"", ""Microwave"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Free parking on premises"", ""Private entrance"", ""Free street parking"", ""Carbon monoxide alarm"", ""Hangers"", ""Iron"", ""Indoor fireplace"", ""TV with standard cable"", ""Refrigerator"", ""First aid kit"", ""Bathtub"", ""Fire extinguisher"", ""Building staff"", ""Hot water"", ""Smoke alarm"", ""Wifi"", ""Heating"", ""Self check-in"", ""Long term stays allowed""]",519.0,2,1125,2.0,3.0,1125.0,1125.0,2.3,1125.0,,t,10,29,53,299,2024-09-18,93,3,0,2013-09-02,2024-05-26,4.74,4.84,4.74,4.86,4.8,4.69,4.61,STR-399217,f,1,1,0,0,0.69
